,stat_par,zero_one_loss,disp_imp,acc,f1
0,-0.0801566041623738,0.23050193050193046,0.8323998276604911,0.5424,0.5171527053864509
1,-0.1345668141900503,0.1961781476344583,0.7352887551848306,0.56,0.5429692603882034
2,-0.015220858470286397,0.18913960741148417,0.912844947389319,0.552,0.5289432870728646
3,-0.10811333196898382,0.09586776859504131,0.7778271028037382,0.5488,0.5290699565966787
4,-0.09704986335737642,0.042529687931510574,0.7679991432166859,0.5616,0.5440093573456186
5,-0.08014416626873141,0.16233766233766234,0.6832764198418403,0.584,0.5615599375858416
6,-0.11388533219519137,0.05269262634631311,0.7129280975434821,0.5737179487179487,0.54592369387854
7,-0.12728679733504222,0.17450863609291245,0.6814151257452411,0.594551282051282,0.5741054303380615
8,-0.07097842151936151,0.16949388209121252,0.75273910536288,0.5769230769230769,0.552507328713794
9,-0.12974136367483646,0.10888723720535143,0.717698439843195,0.5464743589743589,0.5214105218968981
