,stat_par,zero_one_loss,disp_imp,acc,f1
0,0.0,0.19450317124735728,1,0.4934210526315789,0.4908873955609341
1,0.0,0.133736559139785,1,0.4473684210526316,0.44251638223121786
2,0.0,0.16190476190476188,1,0.46710526315789475,0.4658209115445957
3,0.0,0.1569163477310005,1,0.5131578947368421,0.5150613128937321
4,0.0,0.17924528301886788,1,0.5921052631578947,0.5868510498992117
5,0.0,0.17241379310344818,1,0.5328947368421053,0.5361218578161823
6,0.0,0.22023809523809523,1,0.506578947368421,0.49344671138382756
7,0.0,0.2499999999999999,1,0.5328947368421053,0.5351368569016632
8,0.0,0.19047619047619047,1,0.42105263157894735,0.42721961350509136
9,0.0,0.20733652312599682,1,0.5,0.5005321094097251
