,stat_par,zero_one_loss,disp_imp,acc,f1
0,0.0,0.1785714285714286,1,0.68,0.6660317460317461
1,0.0,0.1507936507936508,1,0.69,0.6857223729213351
2,0.0,0.33333333333333337,1,0.74,0.7240893637688198
3,0.0,0.4125,1,0.72,0.7237333333333335
4,0.0,0.435897435897436,1,0.71,0.6854545454545454
5,0.0,0.19696969696969702,1,0.82,0.8137070524412295
6,0.0,0.31818181818181823,1,0.77,0.7597980526505589
7,0.0,0.5324675324675325,1,0.72,0.7108333333333334
8,0.0,0.35686274509803917,1,0.76,0.76
9,0.0,0.2542372881355932,1,0.8,0.7839999999999999
