,stat_par,zero_one_loss,disp_imp,acc,f1
0,0.0,0.19005175388154105,1,0.6547811993517018,0.6540428417953523
1,0.0,0.11092052601486557,1,0.6693679092382496,0.6707555857341031
2,0.0,0.2221922973336924,1,0.6499189627228525,0.6499189627228525
3,0.0,0.06508976431549396,1,0.6612641815235009,0.6613422201697894
4,0.0,0.1138996138996139,1,0.6580226904376013,0.6597309833612006
5,0.0,0.15485362095531585,1,0.6774716369529984,0.6768576130947538
6,0.0,0.1657894736842105,1,0.7082658022690438,0.7081650610409183
7,0.0,0.05748098055790363,1,0.685064935064935,0.6851723298014859
8,0.0,0.17028985507246375,1,0.6623376623376623,0.661920465088531
9,0.0,0.1097963281698221,1,0.6461038961038961,0.6463129155820185
