,eq_odds,zero_one_loss,disp_imp,acc,f1
0,0.03179487179487181,0.037919826652221045,0.7697560975609756,0.3969849246231156,0.3885930576040223
1,0.07298630875195769,0.10339654987678137,0.2605611601513241,0.4138364779874214,0.4022543628626715
2,0.10392156862745097,0.06711610486891395,0.9569469290399524,0.38742138364779877,0.3790191538234161
3,0.13676814988290398,0.15106717176383622,0.4307486928468127,0.4125786163522013,0.3994734715234497
4,0.13043478260869565,0.051251384274640155,0.8043478260869565,0.41509433962264153,0.40280174108507427
5,0.02991452991452989,0.09960345872115439,0.7957229492499202,0.39245283018867927,0.3845758655777981
6,0.09316037735849056,0.092545418917784,0.6319653476249908,0.3937106918238994,0.38648749300008006
7,0.13655761024182078,0.017293233082706694,0.8572654462242563,0.37358490566037733,0.36682503476084455
8,0.027777777777777776,0.029589799729538235,0.763888888888889,0.4037735849056604,0.39172053554827324
9,0.043712424849699394,0.024782748632121043,0.6121999559568376,0.37484276729559746,0.3669049692158581
