,eq_odds,zero_one_loss,disp_imp,acc,f1
0,0.2196825396825397,0.2072463768115942,0.37564499484004127,0.5100342633382281,0.4409098270672893
1,0.18206072517541605,0.1230299694801621,0.29709436927847754,0.5330396475770925,0.4649910607362632
2,0.40550192292598697,0.1722239374292477,0.6178479143595422,0.5389133627019089,0.4681608318006692
3,0.1644280181009357,0.1734246291467353,0.394464609800363,0.5286343612334802,0.4503084067897944
4,0.21886816120997077,0.11842802628789484,0.3584627881003148,0.5232501223690651,0.44887382815394167
5,0.1541818181818182,0.15421821058688145,0.40178571428571425,0.5212922173274597,0.44612743776765496
6,0.13283570721303983,0.14887139887139877,0.5906981386296721,0.5066079295154186,0.4323326728770828
7,0.2122315599247247,0.1710031347962382,0.5501797973193855,0.5186092066601371,0.44093563824382864
8,0.23741600101432736,0.1604887282739632,0.3955445497585366,0.5190989226248776,0.4567689226441957
9,0.12773638704930096,0.2104631710573006,0.5414156251556042,0.5107737512242899,0.4411271812241817
